ID,Loại,"Mã sản phẩm",Tên,"Đã đăng","Nhãn nổi bật?","Hiển thị trong danh mục","Mô tả ngắn","Mô tả","Ngày bắt đầu giảm giá","Ngày kết thúc giảm giá","Trạng thái thuế","Lớp thuế","Còn hàng?",Kho,"Low stock amount","Cho phép đặt trước?","Bán riêng?","Cân nặng (g)","Độ dài (cm)","Độ rộng (cm)","Chiều cao (cm)","Cho phép đánh giá của khách hàng?","Ghi chú thanh toán","Giá khuyến mãi","Giá bán thường","Danh mục","Từ khóa","Lớp giao hàng","Hình ảnh","Giới hạn tải xuống","Ngày hết hạn tải về",Gốc,"Các sản phẩm theo nhóm",Upsells,"Bán chéo","URL ngoài","Nội dung nút bấm","Vị trí"
15,simple,,"Vest 1",1,0,visible,vest,,,,taxable,,1,,,0,0,,,,,1,,200.000,500.000,Vest,vest,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/1-1.jpg,,,,,,,,,0
75,simple,,"Vest 2",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,400.000,500.000,Vest,vest,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/6.jpg,,,,,,,,,0
78,simple,,"vest 3",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,600.000,700.000,Vest,vest,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/4.jpg,,,,,,,,,0
79,simple,,"Vest 4",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,200000,Vest,vest,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/3.jpg,,,,,,,,,0
80,simple,,"Vest 4",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,400.000,Vest,,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/2.jpg,,,,,,,,,0
82,simple,,"Vest 5",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,300.000,400.000,Vest,vest,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/5.jpg,,,,,,,,,0
83,simple,,"Jacket 1",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,100.000,300.000,Jacket,jacket,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/j1.jpg,,,,,,,,,0
85,simple,,"Jacket 2",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,50.000,100.000,Jacket,jacket,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/j2.jpg,,,,,,,,,0
87,simple,,"Jacket 3",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,500.000,600.000,Jacket,jacket,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/j4.jpg,,,,,,,,,0
89,simple,,"Jacket 4",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,300.000,400.000,Jacket,jacket,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/j4-1.jpg,,,,,,,,,0
104,simple,,"Vest 7",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,100.000,400.000,Vest,vest,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/v7.jpg,,,,,,,,,0
106,simple,,"Vest 8",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,300.000,700.000,Vest,vest,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/v8.jpg,,,,,,,,,0
108,simple,,"Vest 9",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,200.000,700.000,Vest,vest,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/v9.jpg,,,,,,,,,0
110,simple,,"Vest 11",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,50.000,200.000,Vest,vest,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/v10.jpg,,,,,,,,,0
112,simple,,"Vest 12",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,500.000,Vest,vest,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/v14.jpg,,,,,,,,,0
114,simple,,"Vest 13",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,100.000,Vest,vest,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/v15.png,,,,,,,,,0
116,simple,,"Vest 14",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,300.000,Vest,vest,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/v16.jpg,,,,,,,,,0
120,simple,,v16,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,300.000,700.000,Vest,vest,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/v16-1.jpg,,,,,,,,,0
122,simple,,v17,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,300.000,Vest,vest,,http://localhost:82/nhomK-woocommerce/wp-content/uploads/2019/10/v17.jpg,,,,,,,,,0
